bill_number,bill_type,congress,full_name_display,bioguide_id,person_id
70,S,117,"Cornyn, John, III (R-TX-1)",C001056,51170
70,S,117,"Moran, Gerald Wesley (R-KS-1)",M000934,51535
74,S,117,"Cruz, Rafael Edward (R-TX-2)",C001098,175665
74,S,117,"Wicker, Roger Frederick (R-MS-2)",W000437,51675
77,S,117,"Daines, Steven David (R-MT)",D000618,198810
77,S,117,"Rounds, Marion Michael (R-SD)",R000605,221844
78,S,117,"Inhofe, James Mountain (R-OK-2)",I000024,51195
78,S,117,"Sullivan, Daniel Scott (R-AK)",S001198,221840
81,S,117,"Warren, Elizabeth Ann (D-MA-1)",W000817,140963
85,S,117,"Leahy, Patrick Joseph (D-VT)",L000174,51206
87,S,117,"Paul, Randal Howard (R-KY-1)",P000603,151828
88,S,117,"Thune, John Randolph (R-SD)",T000250,51242
89,S,117,"Collins, Susan Margaret (R-ME-1)",C001035,51168
89,S,117,"Kelly, Mark Edward (D-AZ-2)",K000377,163882
90,S,117,"Carper, Thomas Richard (D-DE)",C000174,51161
92,S,117,"Cruz, Rafael Edward (R-TX-2)",C001098,175665
95,S,117,"Daines, Steven David (R-MT)",D000618,198810
95,S,117,"Rounds, Marion Michael (R-SD)",R000605,221844
96,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
96,S,117,"Padilla, Alejandro (D-CA-1)",P000145,189610
98,S,117,"Capito, Shelley Wellons Moore (R-WV-2)",C001047,51310
98,s,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
98,s,117,"Shaheen, Cynthia Jeanne Bowers (D-NH-2)",S001181,66834
99,S,117,"Boozman, John Nichols (R-AR-1)",B001236,51287
99,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
104,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
115,S,117,"Scott, Timothy Eugene (R-SC-1)",S001184,151800
117,S,117,"Boozman, John Nichols (R-AR-1)",B001236,51287
123,S,117,"Paul, Randal Howard (R-KY-1)",P000603,151828
124,S,117,"Wicker, Roger Frederick (R-MS-2)",W000437,51675
127,S,117,"Kaine, Timothy Michael (D-VA-1)",K000384,175490
127,S,117,"Warnock, Raphael Gamaliel (D-GA-2)",W000790,369737
133,s,117,"Whitehouse, Sheldon (D-RI-2)",W000802,51844
134,S,117,"Tester, Raymond Jon (D-MT)",T000464,51845
136,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
137,S,117,"Paul, Randal Howard (R-KY-1)",P000603,151828
137,S,117,"Young, Todd Christopher (R-IN-1)",Y000064,52983
140,S,117,"Merkley, Jeffrey Alan (D-OR-1)",M001176,66836
142,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
147,S,117,"Booker, Cory Anthony (D-NJ-2)",B001288,211545
150,S,117,"Sinema, Kyrsten Lea (D-AZ-1)",S001191,198919
151,S,117,"Reed, John Francis (D-RI-1)",R000122,51223
154,S,117,"Lee, Michael Shumway (R-UT-1)",L000577,151827
158,S,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
163,S,117,"Warnock, Raphael Gamaliel (D-GA-2)",W000790,369737
172,S,117,"Grassley, Charles Ernest (R-IA-1)",G000386,51187
178,S,117,"Brown, Sherrod Campbell (D-OH-1)",B000944,51301
182,S,117,"Luján, Ben Ray, Jr. (D-NM-2)",L000570,66871
188,S,117,"Smith, Christine Elizabeth Flint (D-MN-1)",S001203,282320
190,s,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
190,s,117,"Merkley, Jeffrey Alan (D-OR-1)",M001176,66836
194,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
198,S,117,"Capito, Shelley Wellons Moore (R-WV-2)",C001047,51310
205,S,117,"Duckworth, Ladda Tammy (D-IL-2)",D000622,198768
215,S,117,"Casey, Robert Patrick, Jr. (D-PA-1)",C001070,51840
215,S,117,"Whitehouse, Sheldon (D-RI-2)",W000802,51844
221,S,117,"Cardin, Benjamin Louis (D-MD-1)",C000141,51313
222,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
1,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
1,S,117,"Luján, Ben Ray, Jr. (D-NM-2)",L000570,66871
1,S,117,"Padilla, Alejandro (D-CA-1)",P000145,189610
3,s,117,"Ossoff, Thomas Jonathan (D-GA-1)",O000174,34364
4,S,117,"Sanders, Bernard (I-VT)",S000033,51605
18,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
35,S,117,"Capito, Shelley Wellons Moore (R-WV-2)",C001047,51310
35,S,117,"Menendez, Robert Jacobsen, Sr. (D-NJ-1)",M000639,51523
35,S,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
35,S,117,"Ossoff, Thomas Jonathan (D-GA-1)",O000174,34364
35,S,117,"Shaheen, Cynthia Jeanne Bowers (D-NH-2)",S001181,66834
38,S,117,"Casey, Robert Patrick, Jr. (D-PA-1)",C001070,51840
42,S,117,"Paul, Randal Howard (R-KY-1)",P000603,151828
46,S,117,"Peters, Gary Charles, Sr. (D-MI-2)",P000595,66862
50,S,117,"Warren, Elizabeth Ann (D-MA-1)",W000817,140963
51,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
51,S,117,"Luján, Ben Ray, Jr. (D-NM-2)",L000570,66871
51,S,117,"Padilla, Alejandro (D-CA-1)",P000145,189610
53,S,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
53,S,117,"Ossoff, Thomas Jonathan (D-GA-1)",O000174,34364
54,S,117,"Rubio, Marco Antonio (R-FL-1)",R000595,151820
56,S,117,"Reed, John Francis (D-RI-1)",R000122,51223
57,S,117,"Smith, Christine Elizabeth Flint (D-MN-1)",S001203,282320
57,S,117,"Stabenow, Deborah Ann Greer (D-MI-1)",S000770,51236
59,S,117,"Grassley, Charles Ernest (R-IA-1)",G000386,51187
59,S,117,"Lee, Michael Shumway (R-UT-1)",L000577,151827
61,S,117,"Wicker, Roger Frederick (R-MS-2)",W000437,51675
65,S,117,"Cruz, Rafael Edward (R-TX-2)",C001098,175665
